Owner/Repo,PR Number,agent,html_url,Issue Type,Severity,Message,File Name,StartLine,EndLine,Rule,additions,deletions,changed_files,changed_loc
Deep-Learning-Profiling-Tools/triton-viz,86,Claude_Code,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,CODE_SMELL,MAJOR,Remove this commented out code.,PR_triton-viz_86:triton_viz/visualizer/draw.py,190,190,python:S125,2940.0,659.0,23.0,3599.0
567-labs/instructor,1729,Claude_Code,https://github.com/567-labs/instructor/pull/1729,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.,PR_instructor_1729:instructor/retry.py,139,139,python:S3776,653.0,265.0,6.0,918.0
567-labs/instructor,1729,Claude_Code,https://github.com/567-labs/instructor/pull/1729,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 27 to the 15 allowed.,PR_instructor_1729:instructor/retry.py,268,268,python:S3776,653.0,265.0,6.0,918.0
Significant-Gravitas/AutoGPT,10483,Claude_Code,https://github.com/Significant-Gravitas/AutoGPT/pull/10483,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""I need to think about this."" 3 times.",PR_AutoGPT_10483:autogpt_platform/backend/backend/blocks/test/test_smart_decision_maker.py,210,210,python:S1192,585.0,15.0,4.0,600.0
BeehiveInnovations/zen-mcp-server,62,Claude_Code,https://github.com/BeehiveInnovations/zen-mcp-server/pull/62,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 25 to the 15 allowed.,PR_zen-mcp-server_62:tools/base.py,283,283,python:S3776,6.0,2.0,1.0,8.0
BeehiveInnovations/zen-mcp-server,62,Claude_Code,https://github.com/BeehiveInnovations/zen-mcp-server/pull/62,CODE_SMELL,MAJOR,Merge these implicitly concatenated strings; or did you forget a comma?,PR_zen-mcp-server_62:tools/codereview.py,307,307,python:S5799,6.0,2.0,1.0,8.0
BeehiveInnovations/zen-mcp-server,62,Claude_Code,https://github.com/BeehiveInnovations/zen-mcp-server/pull/62,BUG,MAJOR,Delete this unreachable code or refactor the code to make it reachable.,PR_zen-mcp-server_62:tools/codereview.py,330,339,python:S1763,6.0,2.0,1.0,8.0
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,PR_basic-memory_241:src/basic_memory/importers/memory_json_importer.py,17,17,python:S3776,183.0,110.0,11.0,293.0
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""Import complete"" 3 times.",PR_basic-memory_241:tests/cli/test_import_memory_json.py,69,69,python:S1192,183.0,110.0,11.0,293.0
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,CODE_SMELL,CRITICAL,"Define a constant instead of duplicating this literal ""text/markdown"" 5 times.",PR_basic-memory_241:tests/mcp/test_tool_read_content.py,142,142,python:S1192,183.0,110.0,11.0,293.0
rinadelph/Agent-MCP,33,Claude_Code,https://github.com/rinadelph/Agent-MCP/pull/33,CODE_SMELL,MAJOR,Remove this commented out code.,PR_Agent-MCP_33:agent_mcp/app/server_lifecycle.py,21,21,python:S125,332.0,2.0,4.0,334.0
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,CODE_SMELL,CRITICAL,Refactor this function to reduce its Cognitive Complexity from 17 to the 15 allowed.,PR_prefect_18363:src/integrations/prefect-dbt/prefect_dbt/cli/configs/base.py,166,166,python:S3776,142.0,12.0,5.0,154.0
