Owner/Repo,PR Number,Agent,html_url,Issue Type,Severity,Message,File Name,StartLine,EndLine,Rule
Deep-Learning-Profiling-Tools/triton-viz,86,Claude_Code,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,SECURITY_HOTSPOT,HIGH,Make sure disabling CSRF protection is safe here.,PR_triton-viz_86:triton_viz/visualizer/interface.py,13,17,csrf
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,223,223,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,295,295,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,310,310,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,340,340,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,373,373,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,223,223,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,295,295,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,310,310,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,340,340,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,373,373,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,223,223,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,295,295,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,310,310,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,340,340,others
basicmachines-co/basic-memory,241,Claude_Code,https://github.com/basicmachines-co/basic-memory/pull/241,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_basic-memory_241:tests/api/test_project_router.py,373,373,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
PrefectHQ/prefect,18363,Claude_Code,https://github.com/PrefectHQ/prefect/pull/18363,SECURITY_HOTSPOT,LOW,Make sure publicly writable directories are used safely here.,PR_prefect_18363:src/integrations/prefect-dbt/tests/core/test_settings.py,273,273,others
