id,number,html_url,agent,additions,deletions,changed_files,changed_loc
3220223180,86,https://github.com/Deep-Learning-Profiling-Tools/triton-viz/pull/86,Claude_Code,2940.0,659.0,23.0,3599.0
3246796582,391,https://github.com/numbagg/numbagg/pull/391,Claude_Code,49.0,73.0,3.0,122.0
3107321792,7,https://github.com/haasonsaas/ocode/pull/7,Claude_Code,53.0,29.0,6.0,82.0
3245466752,1185,https://github.com/jlowin/fastmcp/pull/1185,Claude_Code,94.0,79.0,5.0,173.0
3133544722,42,https://github.com/meilisearch/meilisearch-mcp/pull/42,Claude_Code,57.0,57.0,9.0,114.0
3246950577,3575,https://github.com/pdm-project/pdm/pull/3575,Claude_Code,28.0,9.0,4.0,37.0
3175209026,16449,https://github.com/mlflow/mlflow/pull/16449,Claude_Code,6.0,2.0,1.0,8.0
3244853040,1729,https://github.com/567-labs/instructor/pull/1729,Claude_Code,653.0,265.0,6.0,918.0
3275609390,10483,https://github.com/Significant-Gravitas/AutoGPT/pull/10483,Claude_Code,585.0,15.0,4.0,600.0
3150229181,62,https://github.com/BeehiveInnovations/zen-mcp-server/pull/62,Claude_Code,6.0,2.0,1.0,8.0
3223924413,62941,https://github.com/airbytehq/airbyte/pull/62941,Claude_Code,3.0,0.0,1.0,3.0
3270842985,241,https://github.com/basicmachines-co/basic-memory/pull/241,Claude_Code,183.0,110.0,11.0,293.0
3225792521,33,https://github.com/rinadelph/Agent-MCP/pull/33,Claude_Code,332.0,2.0,4.0,334.0
2975165913,837,https://github.com/INCATools/ontology-access-kit/pull/837,Claude_Code,14.0,14.0,6.0,28.0
3172647828,18363,https://github.com/PrefectHQ/prefect/pull/18363,Claude_Code,142.0,12.0,5.0,154.0
3206203957,6752,https://github.com/microsoft/autogen/pull/6752,Copilot,63.0,80.0,2.0,143.0
3166878308,16389,https://github.com/mlflow/mlflow/pull/16389,Copilot,5,18,1,23
3268208096,16909,https://github.com/mlflow/mlflow/pull/16909,Copilot,55.0,56.0,35.0,111.0
3109263417,16014,https://github.com/mlflow/mlflow/pull/16014,Copilot,,,,
3166878308,16389,https://github.com/mlflow/mlflow/pull/16389,Copilot,5.0,18.0,1.0,23.0
3226779561,591,https://github.com/jeroenterheerdt/HAsmartirrigation/pull/591,Copilot,940.0,441.0,13.0,1381.0
3078356584,3811,https://github.com/microsoft/lisa/pull/3811,Copilot,11.0,8.0,2.0,19.0
3195573803,500,https://github.com/NewFuture/DDNS/pull/500,Copilot,14.0,10.0,1.0,24.0
3195598738,16533,https://github.com/mlflow/mlflow/pull/16533,Copilot,10.0,0.0,1.0,10.0
3106326653,15996,https://github.com/mlflow/mlflow/pull/15996,Copilot,30.0,16.0,4.0,46.0
3247403285,149,https://github.com/microsoft/mssql-python/pull/149,Copilot,84.0,21.0,3.0,105.0
3192545670,495,https://github.com/NewFuture/DDNS/pull/495,Copilot,550.0,40.0,3.0,590.0
3091825094,129,https://github.com/microsoft/debug-gym/pull/129,Copilot,42.0,2.0,3.0,44.0
3074763951,1939,https://github.com/microsoft/graphrag/pull/1939,Copilot,352.0,86.0,3.0,438.0
